order_id,item_id,quantity,price,added_ingredients,removed_ingredients
1,6,2,12.99,"onions,olives",
2,12,3,22.99,,onions
2,7,1,8.99,,onions
3,20,3,9.99,peppers,"olives,mushrooms"
3,10,3,14.99,"peppers,cheese",peppers
4,8,1,9.99,,cheese
5,7,3,8.99,,"mushrooms,peppers"
5,15,3,6.99,"onions,cheese","peppers,mushrooms"
5,6,2,12.99,onions,
6,1,1,15.99,"cheese,onions","peppers,onions"
6,9,3,16.99,mushrooms,
7,6,1,12.99,,
7,20,2,9.99,,
8,4,3,14.99,onions,"onions,cheese"
9,4,1,14.99,"olives,mushrooms","cheese,olives"
9,18,3,8.99,cheese,
10,2,2,17.99,"onions,cheese",
11,5,2,13.99,,mushrooms
11,2,2,17.99,peppers,"cheese,peppers"
12,13,1,11.99,,onions
12,12,2,22.99,olives,"olives,peppers"
12,13,3,11.99,,"cheese,olives"
13,18,2,8.99,"peppers,olives","onions,mushrooms"
13,14,1,9.99,,
14,13,1,11.99,,"cheese,peppers"
15,6,1,12.99,"mushrooms,peppers","mushrooms,cheese"
15,1,2,15.99,,
15,1,3,15.99,onions,mushrooms
16,11,3,18.99,"cheese,olives","peppers,mushrooms"
17,5,2,13.99,,"mushrooms,onions"
18,18,1,8.99,"cheese,onions",olives
19,12,3,22.99,"olives,peppers","onions,olives"
20,8,3,9.99,,peppers
20,6,1,12.99,cheese,mushrooms
21,4,3,14.99,onions,"olives,cheese"
22,10,3,14.99,olives,
22,17,2,10.99,,onions
23,1,1,15.99,onions,
24,14,3,9.99,mushrooms,
24,6,1,12.99,,"mushrooms,onions"
25,12,3,22.99,,peppers
25,11,2,18.99,,mushrooms
26,15,2,6.99,,
26,10,1,14.99,mushrooms,"cheese,olives"
26,7,2,8.99,,onions
27,8,1,9.99,cheese,olives
27,4,3,14.99,olives,"onions,peppers"
28,10,1,14.99,olives,"cheese,onions"
28,1,3,15.99,peppers,
29,18,1,8.99,"peppers,olives","cheese,mushrooms"
29,4,1,14.99,"olives,mushrooms",peppers
29,1,2,15.99,,
30,7,1,8.99,"olives,mushrooms",
30,4,2,14.99,,
30,3,1,12.99,cheese,cheese
31,12,1,22.99,"cheese,onions",peppers
31,4,1,14.99,olives,
32,9,3,16.99,,
33,2,1,17.99,,olives
33,19,2,28.99,"olives,mushrooms",
34,1,1,15.99,cheese,"peppers,mushrooms"
34,13,2,11.99,olives,
35,19,2,28.99,"onions,cheese",
36,17,1,10.99,,"olives,cheese"
36,2,1,17.99,,
36,12,1,22.99,onions,peppers
36,19,3,28.99,olives,cheese
37,4,3,14.99,"olives,peppers",
37,20,1,9.99,,onions
37,10,2,14.99,,
38,18,2,8.99,mushrooms,"olives,peppers"
38,11,1,18.99,"peppers,onions",mushrooms
